Times,Diff in nanoseconds,In microseconds,In milliseconds,Diff of diff in microseconds,Diff of diff in milliseconds
11098540602200,1008746500,1008746.5,1008.7465,1802,1.8019
11099549908600,1009306400,1009306.4,1009.3064,560,0.5599
11100559689600,1009781000,1009781,1009.781,475,0.4746
11101567439600,1007750000,1007750,1007.75,-2031,-2.031
11102577129800,1009690200,1009690.2,1009.6902,1940,1.9402
11103590215300,1013085500,1013085.5,1013.0855,3395,3.3953
11104600718400,1010503100,1010503.1,1010.5031,-2582,-2.5824
11105612492400,1011774000,1011774,1011.774,1271,1.2709
11106623696900,1011204500,1011204.5,1011.2045,-570,-0.5695
11107635024200,1011327300,1011327.3,1011.3273,123,0.1228
11108643522500,1008498300,1008498.3,1008.4983,-2829,-2.829
11109650456600,1006934100,1006934.1,1006.9341,-1564,-1.5642
11110659532400,1009075800,1009075.8,1009.0758,2142,2.1417
11111670332400,1010800000,1010800,1010.8,1724,1.7242
11112681632400,1011300000,1011300,1011.3,500,0.5
11113696567300,1014934900,1014934.9,1014.9349,3635,3.6349
11114711706800,1015139500,1015139.5,1015.1395,205,0.2046
11115722861400,1011154600,1011154.6,1011.1546,-3985,-3.9849
11116731590900,1008729500,1008729.5,1008.7295,-2425,-2.4251
11117746496800,1014905900,1014905.9,1014.9059,6176,6.1764
11118757751400,1011254600,1011254.6,1011.2546,-3651,-3.6513
11119763683400,1005932000,1005932,1005.932,-5323,-5.3226
11120774204000,1010520600,1010520.6,1010.5206,4589,4.5886
11121788065100,1013861100,1013861.1,1013.8611,3341,3.3405
11122804668300,1016603200,1016603.2,1016.6032,2742,2.7421
11123815777600,1011109300,1011109.3,1011.1093,-5494,-5.4939
11124826137500,1010359900,1010359.9,1010.3599,-749,-0.7494
11125840716100,1014578600,1014578.6,1014.5786,4219,4.2187
11126853898700,1013182600,1013182.6,1013.1826,-1396,-1.396
11127864773300,1010874600,1010874.6,1010.8746,-2308,-2.308
11128871734300,1006961000,1006961,1006.961,-3914,-3.9136
11129883225700,1011491400,1011491.4,1011.4914,4530,4.5304
11130894135000,1010909300,1010909.3,1010.9093,-582,-0.5821
11131907111000,1012976000,1012976,1012.976,2067,2.0667
11132913081600,1005970600,1005970.6,1005.9706,-7005,-7.0054
11133927370000,1014288400,1014288.4,1014.2884,8318,8.3178
